id,address,bad_address,PO,score,precision,precise_geocode,fips_tract_id,fraction_assisted_income,fraction_high_school_edu,median_income,fraction_no_health_ins,fraction_poverty,fraction_vacant_housing,dep_index,lat,lon,fips_block_group_id,total_crime,personal_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,motor_vehicle_theft
60000110098,11924 7TH AV SYCAMORE TOWNSHIP OH 45249,FALSE,FALSE,0.538,street,TRUE,39061024301,0.06258790436005626,0.9779411764705882,89348,0.08090359863409509,0.11715261360651431,0.07901554404145078,0.2569309197389073,39.289207,-84.323762,390610243012,61,25,29,17,54,14,67,137,51,40
60001000117,7401 KENNEDY LN SYCAMORE TOWNSHIP OH 45242,FALSE,FALSE,0.742,range,TRUE,39061024002,0.031992687385740404,0.9566353187042842,80385,0.031676022453889334,0.05653568564554932,0.09735973597359736,0.23405057178667396,39.222929,-84.362476,390610240021,85,74,89,21,187,33,87,72,99,24
50002700262,7085 JEANNIE AV ANDERSON TOWNSHIP OH 45230,FALSE,FALSE,0.749,range,TRUE,39061025002,0.040258260539308775,0.9724590163934427,81995,0.0639649175865719,0.0768183880235899,0.03905109489051095,0.23916427477589428,39.069522,-84.36304,390610250021,29,14,22,70,6,8,32,98,14,22
60002110309,6120 ST REGIS DR SYCAMORE TOWNSHIP OH 45236,FALSE,FALSE,0.529,street,TRUE,39061024001,0.03795233892321271,0.9660834454912517,61474,0.08143828960155491,0.07764098490865766,0.0936,0.2756227744628455,39.21411,-84.378857,390610240011,80,31,24,76,60,12,88,77,99,17
22100190292,4162 CHAMBERS ST CINCINNATI OH 45223,FALSE,FALSE,0.947,range,TRUE,39061007400,0.15155440414507773,0.8701298701298701,42031,0.1668757841907152,0.2026266416510319,0.23940886699507388,0.4337676838787952,39.162385,-84.534013,390610074001,273,279,539,182,516,186,272,368,248,245
61201110164,17 CARPENTERS RIDGE RD BLUE ASH OH 45241,FALSE,FALSE,0.801,range,TRUE,39061023501,0.03676048248133257,0.9477658904971681,101984,0.0434883182974786,0.03269944341372913,0.06848582129481005,0.20847197268480477,39.24182,-84.405757,390610235012,96,21,8,22,12,26,107,48,135,16
52500160078,6639 APACHE CIR MADEIRA OH 45243,FALSE,FALSE,0.94,range,TRUE,39061024100,0.05772882643372579,0.9599224305106658,75603,0.057049955660656224,0.04714750221696719,0.03055964653902798,0.24286684219833005,39.183676,-84.380026,390610241005,28,16,26,7,34,10,29,30,30,21
50003700268,6296 CRITTENDEN DR ANDERSON TOWNSHIP OH 45244,FALSE,FALSE,0.755,range,TRUE,39061024902,0.034594594594594595,0.9656777196044212,116619,0.04346704501483297,0.015320695923136847,0.033101045296167246,0.17797290118293568,39.114309,-84.375814,390610249021,62,32,52,23,59,21,66,117,54,52
17900770440,1029 RUTLEDGE AV CINCINNATI OH 45205,FALSE,FALSE,0.922,range,TRUE,39061009700,0.3494598403006106,0.7811955890887986,27845,0.13112827400940227,0.42612491605104097,0.1738455568490493,0.5644072163546874,39.11109,-84.58803,390610097004,252,346,622,519,495,248,238,362,209,187
60002310072,8462 WICKLOW AV SYCAMORE TOWNSHIP OH 45236,FALSE,FALSE,0.749,range,TRUE,39061023600,0.0984759671746776,0.8965262379896526,53718,0.0768258781905484,0.16528301886792454,0.0662287903667214,0.3375433117012776,39.214071,-84.404595,390610236004,29,14,13,64,10,9,32,48,29,17
61200600204,9354 FLORAL AV BLUE ASH OH 45242,FALSE,FALSE,0.917,range,TRUE,39061023522,0.04161979752530934,0.9437724014336918,58463,0.05963984800925161,0.07237715803452856,0.03159041394335512,0.26951274874320535,39.227722,-84.382689,390610235223,70,19,59,27,37,10,77,69,87,19
51000710151,8145 BLANCHETTA DR COLERAIN TOWNSHIP OH 45239,FALSE,FALSE,0.764,range,TRUE,39061020762,0.20202874049027894,0.8161546085232904,37153,0.18625561978163135,0.30950840879689523,0.12305411415863603,0.4877896076822731,39.218863,-84.578876,390610207622,118,70,84,127,80,56,125,190,115,63
52700100025,6827 MT VERNON AV MARIEMONT OH 45227,FALSE,FALSE,0.869,range,TRUE,39061024800,0.018799710773680405,0.9858968708682239,90486,0.03495484998543548,0.023955594507741748,0.08893280632411067,0.2028796301183033,39.142696,-84.375735,390610248002,166,44,104,21,95,25,185,81,229,67
22500030012,2385 MONTANA AV CINCINNATI OH 45211,FALSE,FALSE,0.922,range,TRUE,39061010002,0.3817821782178218,0.8084243369734789,21417,0.1624784193362747,0.37233838480721276,0.2394578313253012,0.5767941173138759,39.157044,-84.574001,390610100025,124,179,373,295,190,152,116,291,72,71
51000700019,3053 BANNING RD COLERAIN TOWNSHIP OH 45239,FALSE,FALSE,0.749,range,TRUE,39061020761,0.14858327574291638,0.8623775031955688,49308,0.09992193598750976,0.11772053083528493,0.06252024619371559,0.3597757714641918,39.211275,-84.585293,390610207611,59,39,36,46,63,28,62,82,61,30
