"id","address","bad_address","PO","score","precision","precise_geocode","fips_tract_id","fraction_assisted_income","fraction_high_school_edu","median_income","fraction_no_health_ins","fraction_poverty","fraction_vacant_housing","dep_index","dist_to_major_road","lon","lat"
"51001010270","3657 VERNIER DR COLERAIN TOWNSHIP OH 45251",FALSE,FALSE,0.735,"range",TRUE,39061020701,0.0804473304473304,0.860722035904518,61206,0.112322791712105,0.142290869327501,0.0911475409836066,0.343955344936665,1234.14623586492,-84.599597,39.24134
"2200040012","1307 DILLON AV CINCINNATI OH 45208",FALSE,FALSE,0.922,"range",TRUE,39061004800,0.00693481276005548,0.979537366548043,108710,0.0161240310077519,0.0269767441860465,0.0170415814587594,0.167196552946221,3118.0633666334,-84.416917,39.132608
"55000640056","4370 AIRYMONT CT GREEN TOWNSHIP OH 45211",FALSE,FALSE,0.76,"range",TRUE,39061020802,0.0343283582089552,0.940517670482827,74387,0.0518851608439986,0.0657212037357316,0.024745269286754,0.24598390819391,1089.75879644477,-84.596113,39.167463
"59600100129","11 ALBION LN GLENDALE OH 45246",FALSE,FALSE,0.946,"range",TRUE,39061022400,0.0321151716500554,0.960845245494096,95451,0.0267857142857143,0.0462264150943396,0.0915492957746479,0.211424291575974,1050.88675525481,-84.452977,39.267424
"67100160157","2152 BOLSER DR READING OH 45215",FALSE,FALSE,0.943,"range",TRUE,39061023222,0.150799695354151,0.799377224199288,44336,0.0737645348837209,0.0708575581395349,0.0380952380952381,0.359011638053274,1776.14579111972,-84.427354,39.2224820000001
"54001200027","6513 RAPID RUN RD DELHI TOWNSHIP OH 45233",FALSE,FALSE,0.758,"range",TRUE,39061021302,0.00394866732477789,0.934397605387877,79531,0.0459370106142335,0.040716895771707,0.0198355104015481,0.224948165198062,4226.172107607,-84.667418,39.111958
"60000930179","5849 BAYBERRY DR SYCAMORE TOWNSHIP OH 45242",FALSE,FALSE,0.748,"range",TRUE,39061024001,0.0379523389232127,0.966083445491252,61474,0.0814382896015549,0.0776409849086577,0.0936,0.275622774462845,137.367019626888,-84.371319,39.216002
"02040A150084","1628 MINION AV CINCINNATI OH 45205",FALSE,FALSE,0.922,"range",TRUE,39061009200,0.425449871465296,0.706959706959707,18629,0.228769017980636,0.561023074784543,0.264302600472813,0.69548182294761,3473.3235879264,-84.576036,39.117415
"5400040073","3329 GRAYDON AV CINCINNATI OH 45207",FALSE,FALSE,0.922,"range",TRUE,39061003900,0.351902173913043,0.813084112149533,26389,0.11925601750547,0.377974543442169,0.302369668246446,0.556872667881674,595.326524963615,-84.469708,39.137718
"59400100515","955 SCHUMARD AV LINCOLN HEIGHTS OH 45215",FALSE,FALSE,0.932,"range",TRUE,39061022700,0.413816689466484,0.828929690998657,23662,0.187221396731055,0.389598811292719,0.179573512906846,0.582501046861971,654.875791885952,-84.459018,39.237191
"60200080044","4229 SIBLEY AV SILVERTON OH 45236",FALSE,FALSE,0.919,"range",TRUE,39061023800,0.130881771451166,0.90638852672751,36794,0.0983251231527094,0.120634283420313,0.132716049382716,0.365374425880175,1108.99260195229,-84.398106,39.197777
"51001010052","3630 POOLE RD COLERAIN TOWNSHIP OH 45251",FALSE,FALSE,0.535,"street",TRUE,39061020705,0.184947958366693,0.883597883597884,47630,0.0710734132787365,0.148581456566247,0.0630157539384846,0.363455981036879,3088.36767204311,-84.588192,39.225757
"9500050041","2131 VINE ST CINCINNATI OH 45202",FALSE,FALSE,0.859,"street",TRUE,39061002500,0.0558276199804114,0.872,25276,0.0677432059866089,0.545490350531705,0.177276390008058,0.47574635575565,1428.76263050878,-84.516996,39.120217
"4100010010","3611 SHAW AV CINCINNATI OH 45208",FALSE,FALSE,0.92,"range",TRUE,39061005000,0.0508604206500956,0.955465587044534,65156,0.0499178307313065,0.0628606760098928,0.112656939260265,0.265634019669997,940.313782088553,-84.439909,39.1427030000001
"51000410420","9982 DUNRAVEN DR COLERAIN TOWNSHIP OH 45251",FALSE,FALSE,0.741,"range",TRUE,39061020742,0.251958224543081,0.857197403589156,47083,0.144613321412606,0.140730717185386,0.110336817653891,0.417880011808105,1533.6810323013,-84.578766,39.252545
"24700060285","1135 WIONNA AV CINCINNATI OH 45224",FALSE,FALSE,0.922,"range",TRUE,39061011100,0.13953488372093,0.935687263556116,49854,0.0686813186813187,0.0846007604562738,0.114285714285714,0.323226774293736,4763.99313240143,-84.536645,39.203833
"61201500517","10960 E ALLENHURST BLVD BLUE ASH OH 45241",FALSE,FALSE,0.824,"range",TRUE,39061023501,0.0367604824813326,0.947765890497168,101984,0.0434883182974786,0.0326994434137291,0.0684858212948101,0.208471972684805,2360.35137682978,-84.387294,39.266442
"59002310126","1119 GARNOA DR SPRINGFIELD TOWNSHIP OH 45231",FALSE,FALSE,0.733,"range",TRUE,39061022101,0.049970255800119,0.954884667571235,58711,0.0670012547051443,0.131287726358149,0.0587905935050392,0.289825756611967,5828.90780612202,-84.523755,39.242654
"3700030043","6406 ROE ST CINCINNATI OH 45227",FALSE,FALSE,0.96,"range",TRUE,39061005600,0.163009404388715,0.867483811285846,45230,0.164137449851736,0.195924764890282,0.0995059985885674,0.413847238191084,2224.47196401943,-84.386534,39.15527
"59500080299","1947 STERLING AV NORTH COLLEGE HILL OH 45239",FALSE,FALSE,0.937,"range",TRUE,39061021802,0.164586583463339,0.918857660924751,49167,0.126868044515103,0.117965023847377,0.208641975308642,0.375748570832682,4721.7173430575,-84.558362,39.213328
